pitcher,pitch_type,n_pitches,usage_rate,velo_mean,velo_std,spin_mean,spin_std,ivb_mean,ivb_std,hb_mean,hb_std,extension_mean,p_throws
434378,CH,243,0.08574453069865914,84.55226337448559,1.338412552896977,1718.8395061728395,128.3986036061903,9.185185185185185,2.2711393240400515,-12.955555555555554,2.2134524844293466,6.029218106995884,R
434378,CU,412,0.14537755822159493,78.44733009708737,1.487815118726266,2740.0218446601943,108.87081122251416,-12.282815533980584,2.2338592912907673,7.4277669902912615,2.342626027495311,5.984223300970874,R
434378,FF,1297,0.45765702187720536,93.86823438704704,1.329743795738214,2428.0030840400927,78.34256243732898,18.54504240555127,1.648467166482847,-8.875651503469546,2.1522528167244737,6.002158828064765,R
434378,SL,653,0.2304163726182075,87.14762633996938,1.5598139837317202,2493.9709035222054,100.56341623989728,5.504196018376723,2.4607884737291235,3.884287901990812,2.3392875514296354,6.007963246554364,R
434378,ST,217,0.07657021877205364,80.67511520737327,1.6453717666699832,2664.3640552995394,119.52169800747276,-1.5710599078341014,2.8319152139147534,11.60294930875576,3.691416289755242,5.990322580645162,R
445276,FC,1109,0.8166421207658321,92.54995491433723,1.5572563631711152,2611.8070333633905,95.33586224075133,18.11956717763751,1.9417807414522341,3.5263119927862943,2.761870706220606,6.8963931469792605,R
445276,SI,118,0.08689248895434462,93.2,1.3366625103842278,2331.9661016949153,93.44114032015796,19.056610169491524,1.5301087723689166,-7.266101694915255,2.1576395910703825,6.986440677966102,R
445276,SL,100,0.07363770250368189,83.83699999999999,1.6904756966037937,2472.4,82.02426347112053,-3.114,1.8781325347753866,6.3935999999999975,1.9872378271908429,6.814,R
445276,ST,31,0.022827687776141383,81.8741935483871,1.7557463260079242,2509.2903225806454,132.81320053578688,2.829677419354838,3.445731159827541,12.414193548387095,3.5466498503926664,6.780645161290324,R
445926,CH,35,0.18229166666666666,83.78571428571429,0.806277888580262,1807.8285714285714,258.1901357885065,1.0285714285714285,2.3819827910391633,-15.771428571428572,1.4441955685903953,6.274285714285713,R
445926,FC,72,0.375,87.77499999999999,0.9059661405854661,2186.5416666666665,82.69900241236287,12.520000000000001,1.8315544079540127,-2.001666666666667,1.7133305018153109,6.216666666666667,R
445926,SI,67,0.3489583333333333,89.46865671641791,0.8881729553148372,1976.7611940298507,94.08926927387672,7.31641791044776,1.6458834797048254,-16.26985074626866,1.3618408803698046,6.210447761194029,R
448179,CU,59,0.34502923976608185,72.41355932203389,1.4249570625253634,2569.8813559322034,84.33494075774588,-9.148474576271187,1.5159847301106621,-17.05627118644068,1.0935830042840424,6.33728813559322,L
448179,FC,27,0.15789473684210525,83.70370370370372,1.3551842002193706,2288.962962962963,73.96281887204256,8.404444444444445,1.5293370442357677,-2.4755555555555553,2.0121579180520315,6.403703703703704,L
448179,FF,63,0.3684210526315789,88.52380952380952,1.002209540532139,2244.8888888888887,61.366459030212994,16.089523809523804,1.0618477938608664,4.733333333333333,1.557135500764765,6.5746031746031734,L
450203,CH,253,0.09929356357927786,87.51620553359683,0.9635490723005045,1815.205533596838,195.9091070451449,-3.6763636363636363,3.4725087304594187,-13.68616600790514,3.1390838701380037,6.2620553359683795,R
450203,CU,976,0.38304552590266877,81.44006147540983,0.9348322741712989,3163.0860655737706,105.75009132804108,-8.937049180327868,2.45363276495712,15.360122950819672,2.3577480749366737,6.111372950819672,R
450203,FC,232,0.09105180533751962,88.0353448275862,1.3807742548718287,2512.814655172414,81.38958287078623,5.304827586206897,2.7302412505421776,0.8358620689655173,1.8727917762446862,6.174568965517241,R
450203,FF,702,0.2755102040816326,94.21339031339032,1.0629905134789603,2322.448717948718,93.4583573369905,12.441196581196582,1.6296107176608947,-11.96820512820513,2.084041098840657,6.15968660968661,R
450203,SI,385,0.1510989010989011,94.01350649350651,1.0616292586870586,2219.574025974026,102.21808462103502,4.362701298701299,2.0009708520239244,-17.761558441558442,1.7620045587157445,6.177662337662338,R
453286,CH,306,0.14101382488479264,84.78921568627452,1.2284528611287568,1353.7777777777778,96.49559386677339,4.74235294117647,2.526430973113921,-14.300392156862745,2.071739550170716,6.4754901960784315,R
453286,CU,269,0.12396313364055299,76.57509293680297,1.37884215254286,2699.014869888476,91.46269814080324,-6.439405204460967,2.4461043539820264,11.714052044609666,1.9839656533567211,6.305947955390335,R
453286,FC,49,0.02258064516129032,88.22244897959185,1.5005922866936086,2478.3061224489797,79.94248038476182,7.736326530612243,2.6151216462126188,0.6,1.744476998988522,6.148979591836734,R
453286,FF,1052,0.4847926267281106,93.57661596958175,1.0202352076955632,2390.2062737642586,80.26284270281947,16.335855513307983,1.5394072314380094,-8.863574144486691,2.260589282068795,6.192680608365019,R
453286,SL,494,0.22764976958525346,86.317004048583,1.4506466110832328,2405.0979591836735,98.12676265942324,4.100890688259109,2.683080337515106,3.6121457489878543,2.161912198018064,6.183198380566802,R
455119,FC,361,0.38,91.35678670360112,0.938151066631976,2245.8166666666666,77.4070365252486,8.223490304709141,2.329926561918534,2.5342936288088644,1.6543503633310992,6.4656509695290865,R
455119,FF,270,0.28421052631578947,94.62814814814814,0.8395566055696696,2219.570895522388,74.74204460779647,15.196444444444444,1.7997833271766763,-7.790666666666665,2.428088789003863,6.518148148148149,R
