batter,n_pitches_season,stand,avg_delta_run_exp,n_fastball,rv_fastball,xwoba_fastball,n_breaking,rv_breaking,xwoba_breaking,n_offspeed,rv_offspeed,xwoba_offspeed,avg_velo_faced,corr_velo_rv,swing_rate,whiff_rate,chase_rate,vs_rhp_rv,vs_rhp_n,vs_lhp_rv,vs_lhp_n
455117,600,R,-0.007687290969899665,323,-0.010696594427244582,0.2756836105734975,196,-0.002882653061224492,0.20349623589269195,52,-0.025038461538461544,,88.86776429809358,-0.0450594945396798,0.45166666666666666,0.3763837638376384,0.32061068702290074,-0.017234374999999996,385,0.009443925233644863,215
456781,751,R,-0.006338215712383486,429,-0.006463869463869464,0.2931149974481658,213,0.007948356807511735,0.2360565210002119,105,-0.02885714285714286,0.19290729629629627,88.75153129161117,-0.021901959869418033,0.5139813581890812,0.2538860103626943,0.36885245901639346,0.015123867069486405,331,-0.023252380952380955,420
457705,2735,R,-0.004700920810313077,1508,-0.008216180371352787,0.35256484337793476,940,-0.005917021276595745,0.2591577805452863,259,0.018509652509652513,0.30397146270605774,89.36373707533235,-0.020300093504430624,0.45301645338208407,0.27199354317998387,0.20953101361573373,-0.004810926620246384,1873,-0.0044587264150943405,862
457759,822,R,-0.011333333333333334,532,-0.020588345864661652,0.3031264851565862,194,0.012963917525773196,0.3127488884332042,79,-0.017481012658227848,0.23434756521739133,90.26059479553903,-0.09926020726058532,0.4793187347931874,0.1700507614213198,0.2743589743589744,-0.02568857142857143,350,-0.0006885593220338987,472
467793,2217,L,-0.006569230769230768,1167,-0.011381319622964868,0.30141229664134417,640,-0.00540625,0.24705348041389497,401,0.003695760598503741,0.2794499269587047,88.95542986425339,-0.028758949818648103,0.4497068110058638,0.24874623871614845,0.2511013215859031,-0.00784471649484536,1553,-0.0035607902735562288,664
493329,182,R,-0.028203296703296705,77,-0.03638961038961039,0.2078497,57,-0.020245614035087723,,37,-0.026432432432432432,,87.58070175438597,-0.0436107704402876,0.46153846153846156,0.19047619047619047,0.34831460674157305,-0.0164,75,-0.03647663551401869,107
500743,1876,R,0.0030438502673796794,1070,0.005431775700934579,0.31481002813221914,554,0.0058808664259927795,0.2845782556889869,236,-0.01647033898305085,0.29358817039725754,89.12401069518715,-0.02166260880384435,0.4616204690831556,0.1720554272517321,0.28645294725956566,-0.011538779731127198,968,0.018660022148394243,908
502054,1836,R,-0.002376573617952927,1012,0.0021689723320158106,0.36235770980054854,630,-0.018041269841269837,0.20477463781496696,154,0.028857142857142862,0.3683659274376418,89.39788771539743,0.024260421955852932,0.42592592592592593,0.2340153452685422,0.20277078085642317,-0.0003856920684292362,1287,-0.007109057301293899,549
502671,3323,R,0.002085705632949729,1803,-3.826955074875193e-05,0.34433954562715036,1059,0.004509915014164307,0.29665267020691577,432,0.005108796296296296,0.31073365268101505,89.46950591088209,-0.014046798196417323,0.4757749021968101,0.22833649588867805,0.2982131854590265,-0.01046926032660903,2084,0.023511475409836065,1239
506702,237,L,-0.04087288135593221,145,-0.05207586206896552,0.1237927927927928,53,0.0006603773584905646,,33,-0.05651515151515152,,89.02754237288136,-0.07096046648080706,0.5485232067510548,0.2846153846153846,0.33653846153846156,-0.03803424657534246,146,-0.04547777777777778,91
514888,3632,R,0.0019260387811634344,1876,0.006796375266524521,0.34252976126670104,1255,-0.0007904382470119514,0.24672327016423334,451,-0.010452328159645233,0.2234444904929951,89.52800111669458,0.0031322395675370232,0.4856828193832599,0.2165532879818594,0.378159757330637,0.001365214311016649,2838,0.003937738246505717,794
516782,1838,R,-0.0011937942297223728,1012,0.001801383399209484,0.3360978502441813,501,-0.0007964071856287417,0.2759992793110532,277,-0.011209386281588449,0.30747747188484037,89.30595041322313,-0.0020425742207136593,0.49891186071817195,0.27044711014176664,0.3083140877598152,0.0010652680652680673,859,-0.003173646578140962,979
518595,1070,R,-0.011483177570093461,576,-0.020288194444444446,0.3016340725081022,383,0.0008224543080939955,0.281739989931143,97,-0.004103092783505155,0.1332777777777778,89.50539772727272,0.018661021400196674,0.5336448598130841,0.3204903677758319,0.3207920792079208,-0.012805134189031505,857,-0.006164319248826293,213
518692,4601,L,0.008698927085614191,2465,0.008242596348884381,0.3885082105993395,1415,0.006014840989399294,0.32632946464386137,686,0.015823615160349854,0.33592637654888285,89.69043135537552,-0.03206760960424817,0.5059769615301022,0.2508591065292096,0.2823878069432684,0.010045567265964046,3254,0.0054593586875466065,1347
518792,384,L,-0.020338541666666668,200,-0.028435000000000002,0.27551666306522615,110,-0.0008181818181818174,0.25799023412698413,61,-0.02949180327868853,0.12046666666666667,89.61229946524064,-0.04106540207577393,0.453125,0.27586206896551724,0.31891891891891894,-0.02350588235294118,340,,44
518934,539,R,-0.0004434137291280138,316,-0.004699367088607593,0.3217906273742373,144,0.010513888888888887,0.27949604525917565,78,8.974358974358911e-05,0.23935294117647057,89.55046382189241,0.01598739771063082,0.42115027829313545,0.22026431718061673,0.23773584905660378,0.005553892215568865,334,-0.01021463414634146,205
519317,1789,R,0.010891072431218415,975,0.011063589743589746,0.344945390961511,560,0.01020357142857143,0.36434378472614304,246,0.011772357723577235,0.32821960136569245,89.61734980348119,0.011705408764309751,0.42984907769703745,0.36671001300390116,0.2725298588490771,0.0132605577689243,1257,0.00523764258555133,532
521692,3800,R,-0.002923117709437962,1899,0.0011305950500263293,0.38171049702521404,1420,-0.0069795774647887325,0.28489481495429947,445,-0.006361797752808988,0.27290421015437716,89.04506892895016,0.016738804621961815,0.5692105263157895,0.2602866389274156,0.43699476937708037,-0.0017536433032616242,2887,-0.006710112359550561,913
527038,1966,R,-0.0020851172273190625,1034,-0.00040812379110251285,0.3029219562617563,666,-0.0003333333333333326,0.23925873546559515,237,-0.010607594936708861,0.27919372504708095,89.03223310985044,0.003907862135316185,0.4659206510681587,0.20633187772925765,0.2929936305732484,0.00011382113821138427,1356,-0.006970443349753694,610
542303,3902,R,0.0009040884546155829,2077,0.001048627828598941,0.3860298901523555,1234,0.0007901134521880055,0.2993404724209144,513,-0.008144249512670563,0.23976908571428562,89.67090292275574,-0.01067819290799286,0.4046642747309072,0.27422419252691577,0.23646299056135123,0.0010669485553206491,2840,0.00046431969552806975,1062
542932,412,R,-0.02165776699029126,250,-0.024908,0.30491980509218614,98,-0.0019795918367346904,0.25292786561264824,35,-0.0664,,89.54373401534528,-0.08772108732330097,0.47572815533980584,0.25,0.25139664804469275,-0.01733333333333333,294,-0.032432203389830515,118
543309,2152,R,-0.0019814039981404,1102,-0.0012078039927404711,0.3333491753094475,760,-0.002281578947368421,0.24642355809658303,261,-0.00047509578544061216,0.23864031474364003,88.45865294667912,0.00408475376810827,0.45260223048327136,0.23921971252566734,0.29633113828786456,-0.00479799331103679,1496,0.0044375000000000005,656
543510,828,R,-0.001784764207980652,425,-0.0044494117647058806,0.3449470551067056,325,0.0027261538461538478,0.22508645892809473,77,-0.0061168831168831195,0.16274983333333337,88.78730350665055,-0.001424818123695871,0.5108695652173914,0.30260047281323876,0.375,-0.0013649193548387107,496,-0.002413897280966771,332
543592,174,R,-0.024494252873563216,116,-0.027508620689655167,0.3277378809523809,40,-0.015975,,18,,,90.97068965517241,-0.05754697240856762,0.4885057471264368,0.17647058823529413,0.21794871794871795,-0.030199999999999994,135,,39
543760,3448,R,-0.006514949201741654,1887,-0.006011128775834658,0.3464166666759493,1168,-0.009056506849315067,0.25769951136290276,370,-0.0005054054054054062,0.31400354142553605,89.49503649635037,0.0020287205527876285,0.4947795823665893,0.2268464243845252,0.2546728971962617,-0.006560430793777421,2510,-0.0063933901918976545,938
543807,3935,R,0.015669042769857436,2144,0.01761333955223881,0.4166191959359088,1198,0.01641569282136895,0.30475373509695014,570,0.007624561403508772,0.3208889006951828,89.72348736277765,-0.016892446546831284,0.46886912325285895,0.24986449864498644,0.22227899846704138,0.017727335401585657,2906,0.009854917234664069,1029
543877,1671,R,-0.012545890821835633,1065,-0.013740845070422536,0.2802640787012449,451,-0.005880266075388025,0.21884934188711122,133,-0.027714285714285716,0.18133282716049381,90.38521424260712,-0.036542264031493445,0.4506283662477558,0.18193891102257637,0.30526315789473685,-0.008932244897959183,1228,-0.022561085972850677,443
